id,name_zh,category,sort_order,allergens,min_age_months
rice_cereal,米精,grain_root,1,,
rice_porridge,白粥,grain_root,2,,
oatmeal,燕麥粥,grain_root,3,,
white_rice,白米飯,grain_root,4,,
brown_rice,糙米飯,grain_root,5,,
sweet_potato,地瓜,grain_root,6,,
purple_sweet_potato,紫地瓜,grain_root,7,,
potato,馬鈴薯,grain_root,8,,
pumpkin,南瓜,grain_root,9,,
taro,芋頭,grain_root,10,,
yam,山藥,grain_root,11,,
corn,玉米,grain_root,12,,
quinoa,藜麥,grain_root,13,,
noodles,麵條,grain_root,14,wheat,
bread,吐司麵包,grain_root,15,wheat,
steamed_bun,白饅頭,grain_root,16,wheat,
spinach,菠菜,vegetable,17,,
carrot,紅蘿蔔,vegetable,18,,
broccoli,花椰菜,vegetable,19,,
cauliflower,白花椰菜,vegetable,20,,
napa_cabbage,大白菜,vegetable,21,,
bok_choy,青江菜,vegetable,22,,
water_spinach,空心菜,vegetable,23,,
cabbage,高麗菜,vegetable,24,,
lettuce,萵苣,vegetable,25,,
tomato,番茄,vegetable,26,,
cucumber,小黃瓜,vegetable,27,,
eggplant,茄子,vegetable,28,,
bitter_melon,苦瓜,vegetable,29,,
loofah,絲瓜,vegetable,30,,
white_radish,白蘿蔔,vegetable,31,,
mushroom,香菇,vegetable,32,,
green_bean,四季豆,vegetable,33,,
pea,豌豆,vegetable,34,,
banana,香蕉,fruit,35,,
apple,蘋果,fruit,36,,
papaya,木瓜,fruit,37,,
avocado,酪梨,fruit,38,,
pear,水梨,fruit,39,,
peach,桃子,fruit,40,,
orange,橘子,fruit,41,,
watermelon,西瓜,fruit,42,,
cantaloupe,哈密瓜,fruit,43,,
mango,芒果,fruit,44,,
guava,芭樂,fruit,45,,
dragon_fruit,火龍果,fruit,46,,
kiwi,奇異果,fruit,47,,
strawberry,草莓,fruit,48,,
pineapple,鳳梨,fruit,49,,
persimmon,柿子,fruit,50,,
lemon,檸檬,fruit,51,,
grape,葡萄,fruit,52,,
egg_yolk,蛋黃,protein,53,egg,
egg_white,蛋白,protein,54,egg,
whole_egg,全蛋,protein,55,egg,
chicken_breast,雞胸肉,protein,56,,
chicken_thigh,雞腿肉,protein,57,,
pork_lean,豬里肌肉,protein,58,,
pork_liver,豬肝,protein,59,,
beef,牛肉,protein,60,,
duck,鴨肉,protein,61,,
sea_bass,鱸魚,protein,62,fish,
salmon,鮭魚,protein,63,fish,
tilapia,吳郭魚,protein,64,fish,
mackerel,鯖魚,protein,65,fish,
shrimp,蝦,protein,66,shellfish,
crab,螃蟹,protein,67,shellfish,
clam,蛤蜊,protein,68,shellfish,
squid,花枝,protein,69,,
tofu,豆腐,protein,70,soy,
soy_milk,豆漿,protein,71,soy,
edamame,毛豆,protein,72,soy,
red_beans,紅豆,protein,73,,
fresh_milk,鮮奶,dairy,74,milk,12
yogurt,優格,dairy,75,milk,
cheese,起司,dairy,76,milk,
butter,奶油,dairy,77,milk,
cream,鮮奶油,dairy,78,milk,
milk_pudding,布丁,dairy,79,milk;egg,
cottage_cheese,茅屋起司,dairy,80,milk,
sesame_oil,芝麻油,fat_nut,81,,
olive_oil,橄欖油,fat_nut,82,,
peanut_butter,花生醬,fat_nut,83,peanut,
whole_peanuts,整顆花生,fat_nut,84,peanut,12
almond_butter,杏仁醬,fat_nut,85,tree_nut,
whole_almonds,整顆杏仁,fat_nut,86,tree_nut,12
walnuts,核桃,fat_nut,87,tree_nut,12
cashews,腰果,fat_nut,88,tree_nut,12
tahini,芝麻醬,fat_nut,89,,
sunflower_seed_butter,葵花籽醬,fat_nut,90,,
steamed_egg,蒸蛋,tw_home,91,egg,
tofu_pudding,豆花,tw_home,92,soy,
fish_soup,魚湯,tw_home,93,fish,
braised_pork_sauce,滷肉燥,tw_home,94,soy,
rice_noodle_soup,米粉湯,tw_home,95,,
radish_cake,蘿蔔糕,tw_home,96,shellfish,
danzai_noodle,擔仔麵,tw_home,97,shellfish;wheat,
oyster_omelet,蚵仔煎,tw_home,98,shellfish;egg;wheat,
braised_pork_rice,滷肉飯,tw_home,99,soy,
taiwanese_meatball,肉圓,tw_home,100,wheat,
tempura,甜不辣,tw_home,101,fish;wheat,
fish_ball,魚丸,tw_home,102,fish,
century_egg,皮蛋,tw_home,103,egg,
salted_egg,鹹蛋,tw_home,104,egg,
three_cup_chicken,三杯雞,tw_home,105,soy,
wonton_soup,餛飩湯,tw_home,106,wheat,
taiwanese_congee,鹹粥,tw_home,107,,
scallion_pancake,蔥油餅,tw_home,108,wheat,
honey,蜂蜜,snack_drink,109,,12
popsicle,冰棒,snack_drink,110,,
ice_cream,冰淇淋,snack_drink,111,milk,
sponge_cake,海綿蛋糕,snack_drink,112,egg;wheat;milk,
cookies,餅乾,snack_drink,113,wheat,
rice_cracker,米餅,snack_drink,114,,
soda,汽水,snack_drink,115,,
fruit_juice,果汁,snack_drink,116,,
herbal_jelly,仙草凍,snack_drink,117,,
aiyu_jelly,愛玉,snack_drink,118,,
barley_tea,麥仔茶,snack_drink,119,wheat,
black_tea,紅茶,snack_drink,120,,
mung_bean_soup,綠豆湯,snack_drink,121,,
red_bean_soup,紅豆湯,snack_drink,122,,
